timestamp,displacement_m,velocity_ms,acceleration_ms2
16.725369,-0.019536,0.004244,-0.000820
16.825339,-0.019116,0.004164,-0.003271
16.925206,-0.018704,0.003590,-0.003347
17.025332,-0.018398,0.003494,0.001557
17.125911,-0.018003,0.003903,0.001674
17.225640,-0.017616,0.003829,-0.000783
17.325688,-0.017238,0.003746,-0.000856
17.425367,-0.016868,0.003658,-0.002771
17.525641,-0.016506,0.003192,-0.002735
17.625487,-0.016229,0.003111,0.001067
17.725491,-0.015884,0.003406,0.001034
17.825317,-0.015548,0.003318,-0.000860
17.925541,-0.015221,0.003234,-0.000833
18.025366,-0.014901,0.003151,-0.000846
18.125479,-0.014591,0.003064,-0.003328
18.225465,-0.014288,0.002485,-0.003269
18.325993,-0.014092,0.002409,0.001671
18.425313,-0.013807,0.002819,0.001592
18.525487,-0.013530,0.002726,-0.000877
18.625410,-0.013261,0.002644,-0.000365
18.725436,-0.013001,0.002653,-0.006458
18.825353,-0.012731,0.001353,-0.013270
18.925390,-0.012731,0.000000,-0.006762
19.025364,-0.012731,0.000000,0.000000
19.125380,-0.012731,0.000000,0.000000
19.225358,-0.012731,0.000000,0.000000
19.325382,-0.012731,0.000000,0.000000
19.425379,-0.012731,0.000000,0.000000
19.525393,-0.012731,0.000000,0.000000
19.625378,-0.012731,0.000000,0.000000
19.725341,-0.012731,0.000000,0.000000
19.825402,-0.012731,0.000000,0.000000
19.925409,-0.012731,0.000000,-6.000000
20.025360,-0.012731,-0.800000,-6.000000
20.125304,-0.448166,-0.800000,6.000000
20.225398,-0.460767,-0.124796,6.000000
20.326569,-0.473283,-0.125843,-0.010089
20.425346,-0.485929,-0.126813,-0.001566
20.525339,-0.498489,-0.126154,-0.000697
20.625427,-0.511170,-0.126953,-0.002795
20.725353,-0.523882,-0.126713,0.000718
20.825365,-0.536505,-0.126809,-0.004304
20.925398,-0.549249,-0.127574,-0.002315
21.025370,-0.562021,-0.127272,0.000624
21.125405,-0.574704,-0.127449,-0.004247
21.225399,-0.587514,-0.128122,-0.001684
21.325460,-0.600336,-0.127786,0.000347
21.425437,-0.613076,-0.128052,-0.001453
21.525417,-0.625941,-0.128077,0.001401
21.625636,-0.638717,-0.127772,-0.004164
21.726323,-0.651611,-0.128913,-0.007702
21.825847,-0.664527,-0.129314,-0.000210
21.925404,-0.677355,-0.128955,-0.000739
22.025735,-0.690304,-0.129462,-0.002312
22.125534,-0.703264,-0.129418,0.001495
22.225373,-0.716140,-0.129163,0.000804
22.325840,-0.729136,-0.129257,-0.003752
22.425772,-0.742043,-0.129915,-0.006148
22.525453,-0.755069,-0.130484,-0.000108
22.625508,-0.768106,-0.129937,0.001569
22.725462,-0.781057,-0.130171,-0.004184
22.825398,-0.794125,-0.130773,-0.001072
22.925411,-0.807205,-0.130385,0.001948
23.025369,-0.820199,-0.130383,-0.003663
23.125607,-0.833307,-0.131118,-0.003008
23.225409,-0.846428,-0.130985,0.002775
23.325283,-0.859462,-0.130564,0.000047
23.425926,-0.872608,-0.130976,-0.004854
23.525354,-0.885666,-0.131535,-0.003986
23.625340,-0.898838,-0.131771,0.001089
23.725356,-0.912021,-0.131317,0.001502
23.825450,-0.925116,-0.131470,-0.003906
23.925413,-0.938322,-0.132099,-0.001121
24.025487,-0.951540,-0.131694,0.001048
24.125475,-0.964669,-0.131889,-0.001316
24.225423,-0.977910,-0.131957,-0.000979
24.325480,-0.991061,-0.132085,-0.003901
24.425390,-1.004323,-0.132737,-0.000911
24.525378,-1.017595,-0.132267,0.001774
24.625411,-1.030779,-0.132383,-0.002402
24.725367,-1.044071,-0.132748,-0.000692
24.825756,-1.057374,-0.132521,-0.000593
24.925447,-1.070585,-0.132866,-0.003994
25.025464,-1.083909,-0.133319,-0.000299
25.125389,-1.097241,-0.132926,0.001728
25.225367,-1.110481,-0.132974,-0.000607
25.325361,-1.123832,-0.133047,0.333537
25.425388,-1.137093,-0.066259,0.664789
25.525496,-1.137093,0.000000,0.331350
25.625355,-1.137093,0.000000,0.000000
25.725462,-1.137093,0.000000,0.000000
25.825467,-1.137093,0.000000,0.000000
25.925398,-1.137093,0.000000,0.000000
26.025385,-1.137093,0.000000,0.000000
26.125383,-1.137093,0.000000,0.000000
26.225372,-1.137093,0.000000,0.000000
26.325450,-1.137093,0.000000,0.000000
26.425478,-1.137093,0.000000,0.000000
26.525413,-1.137093,0.000000,0.000000
26.625381,-1.137093,0.000000,0.000000
26.725469,-1.137093,0.000000,0.000000
26.825382,-1.137093,0.000000,6.000000
26.925791,-1.137093,0.800000,6.000000
27.025722,-0.342045,0.800000,-6.000000
27.125258,-0.337080,0.049667,-6.000000
27.225377,-0.332129,0.049015,-0.004626
27.325908,-0.327245,0.048738,-0.122925
27.425497,-0.322376,0.024415,-0.244368
27.525355,-0.322376,0.000000,-0.122166
27.625345,-0.322376,0.000000,0.000000
27.725339,-0.322376,0.000000,0.000000
27.825524,-0.322376,0.000000,0.000000
27.925766,-0.322376,0.000000,0.000000
28.025520,-0.322376,0.000000,0.000000
28.125423,-0.322376,0.000000,0.000000
