timestamp,fused_px,fused_py,fused_vx,fused_vy,fusion_variance
59.974964,-505.845100,-323.813800,-1.525000,-0.975000,0.007447
60.075149,-505.997700,-323.911300,-1.525000,-0.975000,0.007447
60.174996,-506.150200,-324.008800,-1.525000,-0.975000,0.007447
60.275152,-506.302700,-324.106400,-1.525000,-0.975000,0.007447
60.375174,-506.455300,-324.203900,-1.525000,-0.975000,0.007447
60.475128,-506.607800,-324.301400,-1.525000,-0.975000,0.007447
60.575027,-506.760300,-324.399000,-1.525000,-0.975000,0.007447
60.675002,-506.912900,-324.496500,-1.525000,-0.975000,0.007447
60.774972,-507.065400,-324.594000,-1.525000,-0.975000,0.007447
60.875150,-507.218000,-324.691600,-1.525000,-0.975000,0.007447
60.975065,-507.370500,-324.789100,-1.525000,-0.975000,0.007447
61.075167,-507.523000,-324.886600,-1.525000,-0.975000,0.007447
61.174959,-507.675600,-324.984200,-1.525000,-0.975000,0.007447
61.274968,-507.828100,-325.081700,-1.525000,-0.975000,0.007447
61.374912,-507.980600,-325.179200,-1.525000,-0.975000,0.007447
61.474905,-508.133200,-325.276800,-1.525000,-0.975000,0.007447
61.574888,-508.285700,-325.374300,-1.525000,-0.975000,0.007447
61.674948,-508.438200,-325.471800,-1.525000,-0.975000,0.007447
61.774944,-508.590800,-325.569400,-1.525000,-0.975000,0.007447
61.874900,-508.743300,-325.666900,-1.525000,-0.975000,0.007447
61.974969,-508.895900,-325.764400,-1.525000,-0.975000,0.007447
62.075010,-509.048400,-325.861900,-1.525000,-0.975000,0.007447
62.174955,-509.200900,-325.959500,-1.525000,-0.975000,0.007447
62.274937,-509.353500,-326.057000,-1.525000,-0.975000,0.007447
62.374975,-509.506000,-326.154500,-1.525000,-0.975000,0.007447
62.474988,-509.658500,-326.252100,-1.525000,-0.975000,0.007447
62.574918,-509.811100,-326.349600,-1.525000,-0.975000,0.007447
62.675389,-509.963600,-326.447100,-1.525000,-0.975000,0.007447
62.774959,-510.116100,-326.544700,-1.525000,-0.975000,0.007447
62.874895,-510.268700,-326.642200,-1.525000,-0.975000,0.007447
62.974963,-510.421200,-326.739700,-1.525000,-0.975000,0.007447
63.075137,-510.573800,-326.837300,-1.525000,-0.975000,0.007447
63.175015,-510.726300,-326.934800,-1.525000,-0.975000,0.007447
63.274981,-510.878800,-327.032300,-1.525000,-0.975000,0.007447
63.374893,-511.031400,-327.129900,-1.525000,-0.975000,0.007447
63.475015,-511.183900,-327.227400,-1.525000,-0.975000,0.007447
63.575557,-511.336400,-327.324900,-1.525000,-0.975000,0.007447
63.674994,-511.489000,-327.422400,-1.525000,-0.975000,0.007447
63.774845,-511.641500,-327.520000,-1.525000,-0.975000,0.007447
63.875323,-511.794000,-327.617500,-1.525000,-0.975000,0.007447
63.975321,-511.946600,-327.715000,-1.525000,-0.975000,0.007447
64.075170,-512.099100,-327.812600,-1.525000,-0.975000,0.007447
64.175370,-512.251700,-327.910100,-1.525000,-0.975000,0.007447
64.275367,-512.404200,-328.007600,-1.525000,-0.975000,0.007447
64.375403,-512.556700,-328.105200,-1.525000,-0.975000,0.007447
64.475511,-512.709300,-328.202700,-1.525000,-0.975000,0.007447
64.575740,-512.861800,-328.300200,-1.525000,-0.975000,0.007447
64.676154,-513.014300,-328.397800,-1.525000,-0.975000,0.007447
64.775203,-513.166900,-328.495300,-1.525000,-0.975000,0.007447
64.875028,-513.319400,-328.592800,-1.525000,-0.975000,0.007447
64.975377,-513.471900,-328.690400,-1.525000,-0.975000,0.007447
65.075147,-513.624500,-328.787900,-1.525000,-0.975000,0.007447
65.175350,-513.777000,-328.885400,-1.525000,-0.975000,0.007447
65.275402,-513.929600,-328.983000,-1.525000,-0.975000,0.007447
65.375243,-514.082100,-329.080500,-1.525000,-0.975000,0.007447
65.475335,-514.234600,-329.178000,-1.525000,-0.975000,0.007447
65.575013,-514.387200,-329.275500,-1.525000,-0.975000,0.007447
65.675035,-514.539700,-329.373100,-1.525000,-0.975000,0.007447
65.775087,-514.692200,-329.470600,-1.525000,-0.975000,0.007447
65.874902,-514.844800,-329.568100,-1.525000,-0.975000,0.007447
65.975006,-514.997300,-329.665700,-1.525000,-0.975000,0.007447
66.074976,-515.149800,-329.763200,-1.525000,-0.975000,0.007447
66.174986,-515.302400,-329.860700,-1.525000,-0.975000,0.007447
66.274987,-515.454900,-329.958300,-1.525000,-0.975000,0.007447
66.374975,-515.607400,-330.055800,-1.525000,-0.975000,0.007447
66.474974,-515.760000,-330.153300,-1.525000,-0.975000,0.007447
66.575119,-515.912500,-330.250900,-1.525000,-0.975000,0.007447
66.675023,-516.065100,-330.348400,-1.525000,-0.975000,0.007447
66.775045,-516.217600,-330.445900,-1.525000,-0.975000,0.007447
66.875045,-516.370100,-330.543500,-1.525000,-0.975000,0.007447
